channel,category,count
BlazeDude,Gaming,1
C4RDİGAN,People & Blogs,3
The Office,Entertainment,1
Tuncay Turşucu,People & Blogs,1
Google Career Certificates,Science & Technology,1
HTalks ,Sports,3
HTalks ,Comedy,3
HTalks ,Gaming,5
HTalks ,Entertainment,1
Dost Kayaoğlu,Gaming,136
Dost Kayaoğlu,Entertainment,3
Dost Kayaoğlu,People & Blogs,4
Dost Kayaoğlu,Film & Animation,1
Filmler ve Filimler,Entertainment,37
LaZ1en Farms,Gaming,5
HBG Highlights,Gaming,3
Coding Artist,Education,1
sinkolon,Comedy,2
Evrende Sasi,Entertainment,1
Uyduruk Bir Grafik,Entertainment,1
Legoboy1243,Film & Animation,1
megas59,Gaming,1
Ksenitiv ModReviewer,Gaming,2
sufferingenjoyer,Education,2
Ferhatboy,Education,2
INTEGRXL,People & Blogs,1
Skip the Tutorial,Gaming,1
riserecords,Music,10
Nikocado Avocado,Howto & Style,1
Nikocado Avocado 2,People & Blogs,1
ChainVideos,Film & Animation,6
GTA 6 Türkiye,Gaming,3
Heisenberg YKS,Education,2
Heisenberg YKS,Entertainment,1
inconsistencyedits,Gaming,4
Oğuz Usta,Education,6
AS Minecraft ,Gaming,1
Negan,People & Blogs,1
Tunç Kurt Matematik,Education,16
Tunç Kurt Matematik,Entertainment,1
Tunç Kurt Matematik,People & Blogs,6
Baykuş Mentörlük,Education,1
Eyüp B. Matematik Geometri,Education,281
Eyüp B. Matematik Geometri,Entertainment,2
Daftpunk,People & Blogs,1
Semih B,People & Blogs,1
Kayra Yeşil,People & Blogs,2
Matematik Şovalyesi,People & Blogs,3
nöbette uyuyakalan mirket,People & Blogs,1
eyup d,People & Blogs,1
YKS 26 KOMANDOSU ,People & Blogs,1
Youtube Çöplüğü,People & Blogs,1
deemert,People & Blogs,1
Zıbartotti,People & Blogs,1
t,People & Blogs,1
J&W,People & Blogs,2
Rapid Syntax,Education,1
Programming Live with Larry,Science & Technology,1
VESSELL0RD,Music,10
VESSELL0RD,Gaming,2
LocalMusicOnBSR,Music,9
Letsrock MN,Music,1
tobines,Music,3
Metal Memories,Music,8
GreatStack,Education,2
disruptive builds,Gaming,1
Apple Music,Music,1
Onur Naci Öztürkler,Education,1
Doğukan Adal [Tvo],Gaming,152
Doğukan Adal [Tvo],Travel & Events,1
Doğukan Adal [Tvo],Film & Animation,1
Alexa Real,Gaming,1
Success Formulas,Howto & Style,1
Portal,News & Politics,3
josh czuba,People & Blogs,2
Answer in Progress,Education,2
Baraneemo,People & Blogs,2
"easy, actually",People & Blogs,1
Diksiyon TV - Mennan Şahin,Education,9
Abdul Bari,Education,2
Abdul Bari,People & Blogs,1
Kurzgesagt – In a Nutshell,Education,69
Natural Finans,Education,23
WaterTower Music,Entertainment,1
Schlachtenbummler,People & Blogs,2
smileisfreee,People & Blogs,1
Manchester United,Sports,1
beIN SPORTS NZ,Sports,2
Video Books,Film & Animation,1
iSorrowproductions,Gaming,375
Grup Başıboş,People & Blogs,2
Bebar Bilim,Education,5
HasanAbi,News & Politics,19
Nerd Cookies,Entertainment,1
Quinn's Ideas,Entertainment,1
Screen Culture,Film & Animation,1
Adam Dhalla,People & Blogs,1
FOOTBOX,Sports,5
Gojira,Music,2
Gojira,People & Blogs,3
deadmay4,People & Blogs,1
Pratik Tarifler,People & Blogs,1
Psych2Go,Education,21
Shulkercraft,Gaming,1
Uncle Shrek’s Memes,People & Blogs,2
GothamChess,Gaming,2
Cem Ergunoğlu,People & Blogs,1
HUGOLA,Music,7
HUGOLA,Entertainment,63
HUGOLA,Gaming,54
MYY,Entertainment,91
MYY,People & Blogs,24
My Wonderland,Music,2
Rose_Kıttıy's,People & Blogs,1
essjayehm,Gaming,1
Taffy,Gaming,2
FancyCraft,Gaming,2
Kelly Nelson,Howto & Style,1
GuideRealm,Howto & Style,1
Agita & Plum Play,Gaming,3
Kysen,Gaming,1
